dataset_id,uuid,type
21b2237f8e795cc4686fafe80f57629c,SNT772.RRSX.967,SN_0114
13583dd515cb5cb272a707c185e2127d,SNT684.VLRC.283,SN_0138
91816d51a4310bf50e7199fe938a8c05,SNT237.HHFT.695,SN_0196
155d4cec94d39048b53f2de9a1fbff6b,SNT892.GCWJ.473,SN_0198
7115658533354b72bafb37c4f14d70be,SNT389.FLMV.956,SN_0140
2a44c3bd9d893ef11ea59ab266693183,SNT485.TFZW.933,SN_0136
08015cd474a1ac0282f788c970673219,SNT262.DMPK.836,SN_0143
819964d9b9244dee0b3cbab91f84aaf0,SNT263.PCQJ.942,SN_0197
98bcc54c9407eac1d550a275e66bb20c,SNT726.KXCD.936,SN_0199
aa4859005ef1c7eba5db845e2f1e30ab,SNT237.HHFT.695,SN_0196
66d0e752db06274b0908c27f7a352263,SNT275.HPHX.884,SN_0118
54d7412030793123f225ea5747272936,SNT263.PCQJ.942,SN_0197
37d9fd11acb6a1f04ad545634ff7d2ae,SNT727.CGJB.362,SN_0139
9aed5667068ebcece0b45dfbd7e99634,SNT727.CGJB.362,SN_0139
7e453b82e038194c69710690b4d77e8b,SNT336.TNTN.436,SN_0142
fec891ae90bcc412e0f4109e0e0a9bca,SNT637.VHCL.766,SN_0112
c5549215aed82857b4bf39f9063a5860,SNT634.CNDC.344,SN_0120
9fdff237dbd0f81589da65dfc3399075,SNT485.TFZW.933,SN_0136
1015d935ce245dc4770cb178005b0f89,SNT949.HRSM.865,SN_0141
14efce887644e081333447119251e4cd,SNT772.RRSX.967,SN_0114
8ddb99765fcab62965544be56d1db130,SNT897.XSKH.765,SN_0123
21986ba48d1fb322cf331aebc61570af,SNT772.RRSX.967,SN_0114
b5ebcd18076913f5384b918b679b5651,SNT765.VJSX.938,SN_0130
4427405370243206cb7386eaa8c7dc29,SNT852.MBFQ.742,SN_0137
7bb540aab7299699e949e6975b7dd0b2,SNT472.XBQZ.856,SN_0132
36c40ac3f87373cbda1736963205d7c9,SNT726.KXCD.936,SN_0199
ab39b4f6a60dec56fb7f5daaf386bd48,SNT597.LBBX.278,SN_0113
31504832679ff94e2ca94ab7551d8be1,SNT296.ZSSX.293,SN_0119
682724122c982275637edd8098e8a674,SNT597.LBBX.278,SN_0113
dd95ff397f5b0af27b7f2776baffbbba,SNT684.VLRC.283,SN_0138
4fd2e8dcab66f62328e982535c2a33ee,SNT985.HJQN.458,SN_0121
9bbda7f5abb763398588f2835713da5b,SNT726.KXCD.936,SN_0199
7a843f178ec6b624b43478fb278e345c,SNT897.XSKH.765,SN_0123
1251e74d322ef90b485adc46fd604886,SNT782.NFTH.529,SN_0134
aa576aef069ed18b4da9dde0face1f84,SNT949.HRSM.865,SN_0141
c5a4728358caf1674f66f587ad73c7bf,SNT378.XSNC.662,SN_0144
2f030728d471f5adab989ee9bf441eb7,SNT237.HHFT.695,SN_0196
5eb138e6093b2adec451358906e5bd01,SNT782.NFTH.529,SN_0134
3b637a7dcc5b06298fbc7548c3d6bbae,SNT852.MBFQ.742,SN_0137
f4f92f117672db357ea7f0e172e6437a,SNT485.TFZW.933,SN_0136
74d9b4d8ae13a6289ff3107244af158d,SNT389.MKGS.876,SN_0135
0365cf9be87fc9bed67e14203c79bfed,SNT782.NFTH.529,SN_0134
c189c99c61fda5cd29a19a44f1d27702,SNT727.CGJB.362,SN_0139
22eef3f0e7a45fe31eeb4a92af9ba7b7,SNT727.CGJB.362,SN_0139
a6a0e9b6dac53ce65f75a79ef497ba77,SNT782.NFTH.529,SN_0134
382d6c7b05a1d4cc12ae80d1636ea479,SNT887.HQLX.679,SN_0133
c990a21a7165ff311edb6c2c23d64db0,SNT887.HQLX.679,SN_0133
9495bc333029a482dedc1c88455bf730,SNT684.VLRC.283,SN_0138
