x,y,combined_info
3658.0,2975.0,Enterocyte_Cell Type
6568.0,2305.0,Enterocyte_Cell Type
7812.0,4371.0,Enterocyte_Cell Type
8224.0,5551.0,Enterocyte_Cell Type
6928.0,4987.0,Enterocyte_Cell Type
5710.0,1204.0,Enterocyte_Cell Type
8357.0,7411.0,Enterocyte_Cell Type
7628.0,6913.0,Enterocyte_Cell Type
5282.0,1604.0,Enterocyte_Cell Type
5552.0,1267.0,Enterocyte_Cell Type
7416.0,7964.0,Enterocyte_Cell Type
8048.0,7602.0,Enterocyte_Cell Type
5530.0,1431.0,Enterocyte_Cell Type
7340.0,6528.0,Enterocyte_Cell Type
6659.0,5523.0,Enterocyte_Cell Type
5555.0,2715.0,Enterocyte_Cell Type
7653.0,4468.0,Enterocyte_Cell Type
6709.0,4548.0,Enterocyte_Cell Type
8034.0,7969.0,Enterocyte_Cell Type
8300.0,8595.0,Enterocyte_Cell Type
9014.0,8007.0,Enterocyte_Cell Type
5745.0,1068.0,Enterocyte_Cell Type
7639.0,6586.0,Enterocyte_Cell Type
6949.0,6024.0,Enterocyte_Cell Type
6359.0,299.0,Enterocyte_Cell Type
5759.0,95.0,Enterocyte_Cell Type
6680.0,3027.0,Enterocyte_Cell Type
4723.0,6.0,Enterocyte_Cell Type
7297.0,4485.0,Enterocyte_Cell Type
6082.0,3155.0,Enterocyte_Cell Type
8592.0,8863.0,Enterocyte_Cell Type
8909.0,8450.0,Enterocyte_Cell Type
7078.0,6555.0,Enterocyte_Cell Type
7933.0,4492.0,Enterocyte_Cell Type
6000.0,1477.0,Enterocyte_Cell Type
7314.0,3297.0,Enterocyte_Cell Type
7587.0,6420.0,Enterocyte_Cell Type
7552.0,8270.0,Enterocyte_Cell Type
8248.0,6019.0,Enterocyte_Cell Type
8884.0,8516.0,Enterocyte_Cell Type
7350.0,6088.0,Enterocyte_Cell Type
7027.0,3030.0,Enterocyte_Cell Type
6522.0,2539.0,Enterocyte_Cell Type
8021.0,5022.0,Enterocyte_Cell Type
8155.0,6574.0,Enterocyte_Cell Type
6612.0,1249.0,Enterocyte_Cell Type
5454.0,2443.0,Enterocyte_Cell Type
6250.0,3093.0,Enterocyte_Cell Type
