x,y,combined_info
5681.0,240.0,Mature Epithelial_Community
6612.0,810.0,CD8+ T Enriched IEL_Community
7152.0,5579.0,Mature Epithelial_Community
7057.0,4863.0,Innate Immune Enriched_Community
8672.0,7578.0,Mature Epithelial_Community
5598.0,1974.0,Plasma Cell Enriched_Community
7886.0,4649.0,Mature Epithelial_Community
6381.0,1789.0,Mature Epithelial_Community
5859.0,336.0,Mature Epithelial_Community
8576.0,8859.0,Mature Epithelial_Community
7482.0,3881.0,Mature Epithelial_Community
6352.0,2023.0,Mature Epithelial_Community
3733.0,8073.0,Stroma_Community
2368.0,5255.0,Stroma_Community
6233.0,3795.0,Plasma Cell Enriched_Community
7428.0,6869.0,Plasma Cell Enriched_Community
6715.0,4314.0,Plasma Cell Enriched_Community
3017.0,4513.0,Stroma_Community
6649.0,5130.0,Plasma Cell Enriched_Community
5600.0,1413.0,CD8+ T Enriched IEL_Community
7919.0,6238.0,Mature Epithelial_Community
7799.0,5544.0,Mature Epithelial_Community
8532.0,7915.0,Mature Epithelial_Community
7020.0,4132.0,CD8+ T Enriched IEL_Community
5741.0,2636.0,Plasma Cell Enriched_Community
